County,Category,Education metrics,Urban vs Rural
Kilifi,Rural,"""None """,0
Kiambu,Rural,"""University completed """,0
Busia,Rural,"""Primary completed""",0
Nyeri,Urban,Some university,1
Taita-Taveta,Urban,"""Primary completed""",1
West Pokot,Rural,"""Secondary completed """,0
Nyandarua,Urban,"""Primary completed""",1
Tharaka-Nithi,Rural,"""None """,0
Kwale,Urban,"""Secondary completed """,1
Baringo,Rural,"""None """,0
West Pokot,Rural,"""University completed """,0
Nairobi City,Urban,"""Secondary completed """,1
Tana River,Rural,"""None """,0
Mombasa,Urban,"""Secondary completed """,1
Nyeri,Rural,"""None """,0
Nairobi City,Urban,Completed technical training after secondary school,1
Nyeri,Rural,"""Primary completed""",0
Bomet,Urban,"""Primary completed""",1
Lamu,Urban,"""Primary completed""",1
Isiolo,Rural,"""None """,0
Bomet,Urban,"""Primary completed""",1
Marsabit,Urban,"""None """,1
Machakos,Urban,Completed technical training after secondary school,1
Tharaka-Nithi,Rural,"""Secondary completed """,0
Trans Nzoia,Rural,"""Secondary completed """,0
Tana River,Rural,"""None """,0
Nyeri,Urban,"""Secondary completed """,1
Nyamira,Urban,"""Primary completed""",1
Kericho,Rural,"""Primary completed""",0
Kakamega,Rural,"""Primary completed""",0
Marsabit,Rural,"""None """,0
Kisumu,Urban,"""University completed """,1
Kakamega,Rural,"""None """,0
Busia,Rural,"""Primary completed""",0
Turkana,Urban,"""Secondary completed """,1
Vihiga,Urban,Completed technical training after secondary school,1
Nyamira,Rural,"""Primary completed""",0
Embu,Urban,Completed technical training after secondary school,1
Meru,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Kakamega,Rural,Completed technical training after secondary school,0
Kisii,Rural,"""Primary completed""",0
Nakuru,Rural,"""Primary completed""",0
Trans Nzoia,Rural,"""Secondary completed """,0
Migori,Urban,"""University completed """,1
Taita-Taveta,Urban,"""Primary completed""",1
Nyeri,Urban,"""Primary completed""",1
Samburu,Urban,"""None """,1
Kisumu,Urban,"""None """,1
Machakos,Urban,"""Secondary completed """,1
Lamu,Urban,"""None """,1
Kilifi,Rural,"""None """,0
Kajiado,Rural,"""None """,0
Busia,Rural,"""Primary completed""",0
Homabay,Urban,"""Primary completed""",1
Nairobi City,Urban,"""Primary completed""",1
Tana River,Rural,"""None """,0
Kwale,Urban,Completed technical training after secondary school,1
Marsabit,Rural,"""None """,0
Nakuru,Rural,"""None """,0
Nyamira,Rural,"""None """,0
Narok,Rural,Completed technical training after secondary school,0
Nandi,Rural,"""Primary completed""",0
Vihiga,Rural,"""Primary completed""",0
Tharaka-Nithi,Rural,"""Primary completed""",0
Wajir,Rural,"""None """,0
Turkana,Urban,"""Secondary completed """,1
Kitui,Urban,"""None """,1
Tharaka-Nithi,Rural,"""University completed """,0
Kericho,Urban,Completed technical training after secondary school,1
Makueni,Rural,"""Primary completed""",0
Samburu,Urban,Some university,1
Siaya,Rural,"""University completed """,0
Vihiga,Rural,"""Secondary completed """,0
Nakuru,Rural,"""None """,0
Nyandarua,Rural,"""None """,0
Mandera,Rural,Some university,0
Murang'a,Rural,"""Primary completed""",0
Kilifi,Urban,"""Secondary completed """,1
Nairobi City,Urban,Completed technical training after secondary school,1
Uasin Gishu,Urban,"""Primary completed""",1
Taita-Taveta,Rural,"""Primary completed""",0
Makueni,Urban,"""Primary completed""",1
Machakos,Rural,Completed technical training after secondary school,0
Kakamega,Rural,"""None """,0
Nairobi City,Urban,"""Primary completed""",1
Makueni,Urban,"""Secondary completed """,1
Baringo,Rural,Some university,0
Turkana,Rural,"""Primary completed""",0
Vihiga,Rural,"""Primary completed""",0
Kiambu,Urban,"""Secondary completed """,1
Turkana,Rural,"""None """,0
Kisumu,Urban,"""Secondary completed """,1
Tana River,Urban,"""None """,1
West Pokot,Rural,"""None """,0
Narok,Rural,"""Secondary completed """,0
Kirinyaga,Rural,"""Secondary completed """,0
Bomet,Rural,"""Secondary completed """,0
Kericho,Rural,"""None """,0
Nyamira,Rural,"""Secondary completed """,0
Vihiga,Urban,Some university,1
Nairobi City,Urban,Some university,1
Bungoma,Rural,Completed technical training after secondary school,0
Kirinyaga,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Bomet,Rural,"""Primary completed""",0
Isiolo,Rural,"""None """,0
Nyeri,Rural,"""Secondary completed """,0
Migori,Rural,"""Primary completed""",0
Turkana,Urban,Some technical training after secondary school,1
Trans Nzoia,Rural,"""Primary completed""",0
Nyamira,Rural,"""Secondary completed """,0
Busia,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Lamu,Rural,"""University completed """,0
Kericho,Rural,"""Primary completed""",0
Nakuru,Rural,"""Primary completed""",0
Wajir,Rural,"""None """,0
Mombasa,Urban,Completed technical training after secondary school,1
Kisii,Urban,"""None """,1
Samburu,Urban,"""None """,1
Makueni,Rural,"""Secondary completed """,0
Homabay,Rural,Completed technical training after secondary school,0
Trans Nzoia,Rural,"""Primary completed""",0
Machakos,Urban,"""Primary completed""",1
Kiambu,Rural,"""Secondary completed """,0
Nakuru,Urban,Completed technical training after secondary school,1
West Pokot,Urban,"""Secondary completed """,1
Garissa,Rural,"""None """,0
Trans Nzoia,Urban,Completed technical training after secondary school,1
Makueni,Urban,"""Secondary completed """,1
Busia,Urban,"""University completed """,1
Kajiado,Rural,"""Secondary completed """,0
Kisii,Urban,"""Secondary completed """,1
Nairobi City,Urban,"""Primary completed""",1
Kisumu,Urban,"""University completed """,1
Kajiado,Urban,"""Primary completed""",1
Marsabit,Rural,"""None """,0
Nakuru,Urban,"""University completed """,1
Turkana,Rural,"""Primary completed""",0
Nyeri,Rural,"""Primary completed""",0
Kakamega,Rural,Completed technical training after secondary school,0
Nyandarua,Rural,"""Secondary completed """,0
Kisii,Urban,Some technical training after secondary school,1
Nairobi City,Urban,"""Primary completed""",1
Homabay,Urban,"""Primary completed""",1
Busia,Rural,"""University completed """,0
Kiambu,Urban,"""Secondary completed """,1
Lamu,Rural,"""Primary completed""",0
Nakuru,Urban,"""Secondary completed """,1
Nyandarua,Rural,"""Primary completed""",0
Tharaka-Nithi,Rural,"""Secondary completed """,0
Kisii,Rural,"""Secondary completed """,0
Taita-Taveta,Urban,"""Secondary completed """,1
Taita-Taveta,Rural,"""Primary completed""",0
Marsabit,Rural,"""None """,0
Samburu,Urban,"""Secondary completed """,1
Nyamira,Rural,"""Secondary completed """,0
Nyandarua,Rural,"""None """,0
Busia,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""None """,0
Embu,Urban,"""Primary completed""",1
Turkana,Rural,"""None """,0
Kwale,Urban,"""Primary completed""",1
Makueni,Rural,"""Secondary completed """,0
Samburu,Urban,"""Secondary completed """,1
Nyandarua,Rural,"""Primary completed""",0
Baringo,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Wajir,Rural,"""None """,0
Kirinyaga,Rural,"""None """,0
Murang'a,Rural,"""None """,0
Kisumu,Urban,"""Secondary completed """,1
Machakos,Urban,Some university,1
Narok,Rural,"""Primary completed""",0
Kiambu,Urban,"""Secondary completed """,1
Baringo,Urban,"""Primary completed""",1
Laikipia,Rural,"""Secondary completed """,0
Kitui,Rural,"""Secondary completed """,0
Turkana,Urban,"""Secondary completed """,1
Isiolo,Urban,"""University completed """,1
Garissa,Rural,"""None """,0
Bomet,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""Primary completed""",0
Elgeyo-Marakwet,Rural,"""University completed """,0
Nakuru,Urban,"""Secondary completed """,1
Embu,Rural,"""Primary completed""",0
Taita-Taveta,Urban,"""Primary completed""",1
Kitui,Rural,Completed technical training after secondary school,0
Elgeyo-Marakwet,Rural,Completed technical training after secondary school,0
Kakamega,Urban,"""University completed """,1
Nandi,Rural,"""Primary completed""",0
Bomet,Urban,Completed technical training after secondary school,1
Kisumu,Urban,"""Secondary completed """,1
Narok,Rural,"""None """,0
Vihiga,Urban,"""Primary completed""",1
West Pokot,Urban,"""University completed """,1
Kisumu,Urban,"""Primary completed""",1
Migori,Rural,"""Secondary completed """,0
West Pokot,Urban,Some technical training after secondary school,1
Nyeri,Rural,"""Primary completed""",0
Kericho,Urban,Some university,1
Nakuru,Urban,"""University completed """,1
Kisii,Urban,"""Primary completed""",1
Nyeri,Urban,"""Secondary completed """,1
Mombasa,Urban,"""None """,1
Kiambu,Urban,"""Secondary completed """,1
Garissa,Rural,"""None """,0
Samburu,Urban,Some technical training after secondary school,1
Wajir,Rural,"""None """,0
Tharaka-Nithi,Rural,"""Primary completed""",0
Kiambu,Urban,"""Secondary completed """,1
Bomet,Urban,Some technical training after secondary school,1
Kitui,Rural,"""Secondary completed """,0
Kericho,Rural,"""None """,0
West Pokot,Urban,"""University completed """,1
Taita-Taveta,Urban,"""Secondary completed """,1
Wajir,Urban,"""None """,1
Kericho,Rural,"""University completed """,0
Elgeyo-Marakwet,Rural,"""Secondary completed """,0
Baringo,Rural,"""None """,0
Bomet,Urban,"""Secondary completed """,1
Kwale,Urban,"""Primary completed""",1
Lamu,Urban,"""Secondary completed """,1
Lamu,Rural,"""Secondary completed """,0
Trans Nzoia,Rural,Completed technical training after secondary school,0
Mandera,Urban,"""None """,1
Siaya,Rural,"""Secondary completed """,0
Tana River,Rural,"""Primary completed""",0
Kajiado,Rural,"""None """,0
Migori,Rural,"""Primary completed""",0
Siaya,Rural,"""Primary completed""",0
Bungoma,Rural,"""Primary completed""",0
Mandera,Urban,"""None """,1
Tana River,Rural,"""Secondary completed """,0
Kakamega,Rural,"""Primary completed""",0
Kwale,Urban,"""Secondary completed """,1
Nyamira,Rural,"""Primary completed""",0
Homabay,Urban,Some university,1
Nyeri,Rural,Some technical training after secondary school,0
Mombasa,Urban,"""Secondary completed """,1
Kericho,Rural,"""Primary completed""",0
Tana River,Rural,"""None """,0
Kisii,Rural,"""Secondary completed """,0
Kajiado,Urban,Some technical training after secondary school,1
Machakos,Urban,"""Primary completed""",1
Kisumu,Rural,Completed technical training after secondary school,0
Bomet,Rural,"""Secondary completed """,0
Laikipia,Rural,"""None """,0
Kajiado,Urban,"""Secondary completed """,1
Bomet,Urban,Completed technical training after secondary school,1
Kericho,Rural,"""Primary completed""",0
Nandi,Rural,"""Secondary completed """,0
Mandera,Rural,"""Secondary completed """,0
Kajiado,Urban,"""Secondary completed """,1
Nyeri,Rural,"""Primary completed""",0
Nyandarua,Urban,"""Primary completed""",1
Laikipia,Urban,"""Primary completed""",1
Nakuru,Rural,Some university,0
Tana River,Rural,"""None """,0
Uasin Gishu,Urban,"""Primary completed""",1
Kitui,Rural,"""None """,0
Lamu,Urban,"""Primary completed""",1
Kwale,Rural,"""Primary completed""",0
Kajiado,Urban,"""Primary completed""",1
Kajiado,Urban,"""Primary completed""",1
Trans Nzoia,Rural,Completed technical training after secondary school,0
Kisii,Urban,Completed technical training after secondary school,1
Turkana,Rural,"""None """,0
Baringo,Rural,"""Secondary completed """,0
Machakos,Urban,"""Primary completed""",1
Trans Nzoia,Rural,Completed technical training after secondary school,0
Kiambu,Urban,Completed technical training after secondary school,1
Garissa,Rural,"""None """,0
Kakamega,Rural,Completed technical training after secondary school,0
Mandera,Rural,"""None """,0
Nairobi City,Urban,"""Secondary completed """,1
Uasin Gishu,Urban,Some university,1
Kisumu,Urban,"""Secondary completed """,1
Busia,Urban,"""Primary completed""",1
Turkana,Urban,"""None """,1
Kakamega,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Mandera,Urban,"""None """,1
Nairobi City,Urban,"""Primary completed""",1
Kisii,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Primary completed""",1
Kericho,Urban,Some technical training after secondary school,1
Garissa,Urban,"""None """,1
West Pokot,Rural,"""None """,0
Wajir,Rural,"""Secondary completed """,0
Marsabit,Rural,"""None """,0
Trans Nzoia,Urban,"""Primary completed""",1
Bungoma,Urban,Completed technical training after secondary school,1
Kilifi,Urban,"""Secondary completed """,1
Baringo,Rural,"""None """,0
Mombasa,Urban,"""Secondary completed """,1
Kitui,Rural,"""Primary completed""",0
Kisii,Urban,"""Secondary completed """,1
Baringo,Rural,"""None """,0
Mandera,Urban,"""None """,1
Kericho,Rural,"""Primary completed""",0
Kirinyaga,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
West Pokot,Rural,"""None """,0
Nakuru,Urban,"""Secondary completed """,1
Kirinyaga,Rural,Completed technical training after secondary school,0
Nairobi City,Urban,"""Primary completed""",1
Bungoma,Rural,"""Primary completed""",0
Lamu,Rural,"""Primary completed""",0
Meru,Rural,Some technical training after secondary school,0
Vihiga,Rural,"""Primary completed""",0
Isiolo,Urban,"""None """,1
Nyamira,Rural,"""Secondary completed """,0
Mandera,Rural,"""None """,0
Samburu,Rural,"""None """,0
Nyamira,Rural,"""Primary completed""",0
Kitui,Urban,"""Secondary completed """,1
Kakamega,Rural,"""Secondary completed """,0
Wajir,Rural,"""None """,0
Kiambu,Rural,"""Secondary completed """,0
Nyamira,Rural,"""Secondary completed """,0
Kakamega,Rural,Completed technical training after secondary school,0
Migori,Rural,"""Secondary completed """,0
Homabay,Rural,Some technical training after secondary school,0
Nyeri,Rural,"""Primary completed""",0
Nakuru,Urban,"""University completed """,1
Garissa,Rural,"""None """,0
Isiolo,Urban,"""Primary completed""",1
Baringo,Rural,"""Primary completed""",0
West Pokot,Rural,"""Primary completed""",0
Nakuru,Urban,Some university,1
West Pokot,Rural,"""Secondary completed """,0
Kiambu,Rural,"""None """,0
Narok,Urban,"""Secondary completed """,1
Kitui,Rural,"""Secondary completed """,0
Kisii,Urban,Completed technical training after secondary school,1
Uasin Gishu,Urban,"""Primary completed""",1
Laikipia,Rural,"""Secondary completed """,0
Migori,Rural,Completed technical training after secondary school,0
Wajir,Rural,"""None """,0
Lamu,Urban,"""Secondary completed """,1
Makueni,Rural,"""None """,0
Lamu,Rural,"""Secondary completed """,0
Machakos,Rural,"""Primary completed""",0
Kitui,Rural,"""Primary completed""",0
Isiolo,Urban,"""Primary completed""",1
Machakos,Rural,"""Secondary completed """,0
Nakuru,Urban,"""Secondary completed """,1
Kirinyaga,Urban,"""None """,1
Narok,Rural,"""None """,0
Mombasa,Urban,"""Primary completed""",1
Kwale,Rural,"""None """,0
Wajir,Rural,"""None """,0
Trans Nzoia,Rural,"""Primary completed""",0
Wajir,Urban,"""None """,1
Tharaka-Nithi,Urban,Some university,1
Samburu,Rural,"""None """,0
Bungoma,Urban,"""Secondary completed """,1
Marsabit,Rural,"""Primary completed""",0
Busia,Urban,"""Primary completed""",1
Siaya,Rural,"""Secondary completed """,0
Busia,Rural,Completed technical training after secondary school,0
Mombasa,Urban,"""University completed """,1
West Pokot,Rural,"""None """,0
Turkana,Rural,"""None """,0
West Pokot,Rural,Some technical training after secondary school,0
Kiambu,Urban,"""Secondary completed """,1
Turkana,Rural,"""None """,0
Kakamega,Rural,"""Primary completed""",0
Mombasa,Urban,"""Secondary completed """,1
Embu,Rural,"""None """,0
Vihiga,Rural,"""None """,0
Uasin Gishu,Rural,"""Secondary completed """,0
Uasin Gishu,Rural,"""Secondary completed """,0
Trans Nzoia,Rural,"""Secondary completed """,0
Meru,Rural,"""Primary completed""",0
Trans Nzoia,Rural,"""None """,0
Bungoma,Urban,"""Primary completed""",1
Marsabit,Rural,"""None """,0
Kisii,Urban,"""University completed """,1
Narok,Rural,"""None """,0
Nakuru,Rural,"""Secondary completed """,0
Machakos,Urban,Some technical training after secondary school,1
Makueni,Rural,"""Primary completed""",0
Kakamega,Rural,"""None """,0
Laikipia,Rural,"""None """,0
West Pokot,Rural,"""Primary completed""",0
Siaya,Urban,"""Primary completed""",1
Kiambu,Rural,"""None """,0
Nyamira,Rural,"""Primary completed""",0
Lamu,Urban,"""University completed """,1
Siaya,Rural,"""None """,0
Makueni,Rural,"""Primary completed""",0
Bomet,Rural,"""Primary completed""",0
Marsabit,Rural,"""None """,0
Laikipia,Urban,"""Secondary completed """,1
Kirinyaga,Rural,"""None """,0
Makueni,Rural,"""Secondary completed """,0
Embu,Rural,"""Primary completed""",0
Uasin Gishu,Rural,"""Secondary completed """,0
Nyeri,Rural,"""Primary completed""",0
Isiolo,Rural,"""None """,0
Elgeyo-Marakwet,Rural,"""Secondary completed """,0
Busia,Rural,"""Secondary completed """,0
Mandera,Urban,"""None """,1
Vihiga,Rural,"""Secondary completed """,0
West Pokot,Rural,"""Secondary completed """,0
Garissa,Urban,"""Secondary completed """,1
Samburu,Rural,"""None """,0
Siaya,Urban,Completed technical training after secondary school,1
Nyeri,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""Primary completed""",0
Kisumu,Rural,"""Primary completed""",0
Elgeyo-Marakwet,Rural,"""None """,0
Kakamega,Rural,"""Primary completed""",0
Vihiga,Urban,Completed technical training after secondary school,1
Murang'a,Rural,"""None """,0
Kericho,Urban,"""University completed """,1
Nyeri,Urban,"""University completed """,1
Tana River,Rural,"""None """,0
Mombasa,Urban,"""Secondary completed """,1
Vihiga,Urban,"""Secondary completed """,1
Kericho,Rural,"""Primary completed""",0
Marsabit,Rural,"""None """,0
Nakuru,Urban,Completed technical training after secondary school,1
Kajiado,Rural,"""Secondary completed """,0
Bomet,Rural,Some technical training after secondary school,0
Narok,Rural,"""Primary completed""",0
Nyamira,Rural,"""Secondary completed """,0
Embu,Rural,"""Secondary completed """,0
Kisumu,Urban,Completed technical training after secondary school,1
Bungoma,Rural,"""Primary completed""",0
Tharaka-Nithi,Rural,"""None """,0
Turkana,Urban,"""None """,1
Marsabit,Rural,"""None """,0
Kajiado,Rural,"""None """,0
Kisumu,Urban,"""Secondary completed """,1
Baringo,Rural,"""Secondary completed """,0
Makueni,Rural,"""Primary completed""",0
Bomet,Urban,"""None """,1
Nandi,Urban,"""University completed """,1
Kisumu,Rural,Some technical training after secondary school,0
Uasin Gishu,Rural,"""Secondary completed """,0
Marsabit,Rural,"""None """,0
Turkana,Rural,"""None """,0
Samburu,Rural,"""None """,0
Elgeyo-Marakwet,Rural,"""Secondary completed """,0
Kilifi,Rural,"""None """,0
Lamu,Rural,"""Primary completed""",0
Machakos,Urban,"""Secondary completed """,1
Kilifi,Rural,"""None """,0
Narok,Rural,"""None """,0
Turkana,Rural,"""None """,0
Turkana,Rural,"""None """,0
Laikipia,Rural,"""None """,0
Kiambu,Urban,"""Secondary completed """,1
Kitui,Rural,"""None """,0
Nyandarua,Rural,"""Secondary completed """,0
Nakuru,Rural,"""Secondary completed """,0
Samburu,Rural,"""Primary completed""",0
Migori,Rural,"""Primary completed""",0
Turkana,Urban,"""Secondary completed """,1
Migori,Rural,"""Secondary completed """,0
Kisii,Urban,"""University completed """,1
Machakos,Rural,"""Primary completed""",0
Kakamega,Rural,"""Primary completed""",0
Elgeyo-Marakwet,Rural,"""Primary completed""",0
Nyandarua,Rural,"""None """,0
Murang'a,Rural,"""Primary completed""",0
Elgeyo-Marakwet,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Kericho,Rural,"""Secondary completed """,0
Elgeyo-Marakwet,Rural,"""Secondary completed """,0
Kiambu,Urban,"""Primary completed""",1
Kajiado,Rural,"""None """,0
Kajiado,Rural,"""None """,0
Nakuru,Urban,"""Primary completed""",1
Nyandarua,Rural,"""Secondary completed """,0
Homabay,Urban,"""Primary completed""",1
Garissa,Rural,"""None """,0
Kericho,Urban,"""Secondary completed """,1
Nyeri,Rural,"""Secondary completed """,0
Garissa,Rural,"""None """,0
Busia,Rural,"""Primary completed""",0
Uasin Gishu,Rural,"""Primary completed""",0
Nakuru,Urban,"""Secondary completed """,1
Embu,Rural,"""Secondary completed """,0
Bomet,Rural,"""University completed """,0
West Pokot,Urban,"""University completed """,1
Nyandarua,Rural,"""Primary completed""",0
Tharaka-Nithi,Rural,"""Primary completed""",0
Laikipia,Rural,"""Primary completed""",0
Nyamira,Rural,"""None """,0
Kisumu,Urban,"""Secondary completed """,1
Tana River,Rural,"""None """,0
Kiambu,Urban,Some technical training after secondary school,1
Nyamira,Rural,"""Secondary completed """,0
Tharaka-Nithi,Urban,"""Primary completed""",1
Uasin Gishu,Rural,"""Primary completed""",0
Taita-Taveta,Rural,"""Secondary completed """,0
Kisii,Rural,"""Secondary completed """,0
Marsabit,Rural,"""None """,0
Baringo,Urban,"""Primary completed""",1
Kiambu,Rural,"""Secondary completed """,0
Elgeyo-Marakwet,Urban,"""Primary completed""",1
Kisii,Urban,"""Secondary completed """,1
Mombasa,Urban,"""Primary completed""",1
Bomet,Rural,"""Primary completed""",0
Nyamira,Rural,"""Primary completed""",0
Isiolo,Rural,"""None """,0
West Pokot,Rural,"""University completed """,0
Bomet,Rural,"""Primary completed""",0
Marsabit,Urban,"""Primary completed""",1
Siaya,Rural,Completed technical training after secondary school,0
Baringo,Rural,"""Primary completed""",0
Mandera,Urban,"""None """,1
Makueni,Rural,"""Secondary completed """,0
Baringo,Urban,"""Primary completed""",1
Taita-Taveta,Rural,"""None """,0
Wajir,Urban,"""None """,1
Kericho,Urban,"""Secondary completed """,1
Laikipia,Rural,"""Primary completed""",0
Machakos,Urban,Completed technical training after secondary school,1
Kiambu,Urban,"""Primary completed""",1
Nyeri,Rural,"""University completed """,0
Taita-Taveta,Rural,"""Primary completed""",0
Kisii,Rural,"""Secondary completed """,0
Migori,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Siaya,Urban,"""University completed """,1
Isiolo,Rural,"""None """,0
Nandi,Rural,Completed technical training after secondary school,0
Wajir,Urban,"""None """,1
Kitui,Rural,"""University completed """,0
Homabay,Rural,"""Primary completed""",0
Kajiado,Urban,"""Primary completed""",1
Nairobi City,Urban,"""University completed """,1
Murang'a,Rural,"""University completed """,0
Murang'a,Urban,"""Secondary completed """,1
Isiolo,Urban,"""None """,1
Kisii,Urban,Completed technical training after secondary school,1
Narok,Urban,"""Primary completed""",1
Kisumu,Rural,"""Primary completed""",0
Uasin Gishu,Rural,Completed technical training after secondary school,0
Mandera,Urban,"""None """,1
Turkana,Rural,"""None """,0
Kitui,Rural,"""None """,0
Kisii,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Garissa,Rural,"""None """,0
Turkana,Urban,"""Secondary completed """,1
Kajiado,Urban,"""Secondary completed """,1
Kilifi,Urban,"""Secondary completed """,1
Murang'a,Rural,"""None """,0
Bomet,Rural,"""Secondary completed """,0
Kiambu,Rural,"""Primary completed""",0
Narok,Rural,"""University completed """,0
Mandera,Rural,"""None """,0
Garissa,Urban,"""None """,1
Kiambu,Urban,"""Primary completed""",1
Turkana,Rural,"""None """,0
Kisii,Rural,"""Primary completed""",0
Nyeri,Rural,"""Secondary completed """,0
Kisii,Urban,"""Secondary completed """,1
Kirinyaga,Rural,"""Primary completed""",0
Taita-Taveta,Rural,"""Secondary completed """,0
Vihiga,Urban,"""University completed """,1
Mandera,Rural,"""None """,0
Laikipia,Rural,"""University completed """,0
Garissa,Rural,"""None """,0
Nyeri,Urban,"""Primary completed""",1
Baringo,Rural,"""Primary completed""",0
Baringo,Urban,"""Primary completed""",1
Kisumu,Urban,"""None """,1
Busia,Rural,"""Primary completed""",0
Bungoma,Rural,Some technical training after secondary school,0
Garissa,Rural,"""None """,0
Marsabit,Rural,"""None """,0
Nandi,Rural,Completed technical training after secondary school,0
Tharaka-Nithi,Rural,Completed technical training after secondary school,0
Embu,Rural,"""Secondary completed """,0
Machakos,Rural,"""Secondary completed """,0
Nairobi City,Urban,Completed technical training after secondary school,1
Nairobi City,Urban,"""Primary completed""",1
Uasin Gishu,Urban,"""Secondary completed """,1
Homabay,Rural,"""Primary completed""",0
Makueni,Urban,"""Secondary completed """,1
Mombasa,Urban,"""Primary completed""",1
Homabay,Urban,"""Secondary completed """,1
Kwale,Rural,"""Primary completed""",0
Trans Nzoia,Rural,"""Primary completed""",0
Nakuru,Rural,"""Primary completed""",0
Baringo,Rural,"""Secondary completed """,0
Migori,Rural,Completed technical training after secondary school,0
Nakuru,Urban,"""Primary completed""",1
Lamu,Rural,"""Secondary completed """,0
Tharaka-Nithi,Rural,"""None """,0
Migori,Urban,Completed technical training after secondary school,1
Tana River,Rural,"""None """,0
Laikipia,Urban,"""Primary completed""",1
Kisumu,Rural,"""Primary completed""",0
Bomet,Rural,"""Secondary completed """,0
Nyamira,Rural,"""Primary completed""",0
Kajiado,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
Lamu,Rural,"""None """,0
Kilifi,Rural,"""None """,0
Marsabit,Urban,"""Secondary completed """,1
Isiolo,Rural,"""None """,0
Siaya,Urban,"""Secondary completed """,1
Embu,Rural,"""None """,0
Bungoma,Urban,"""Primary completed""",1
Makueni,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Bomet,Rural,"""None """,0
Kitui,Rural,"""Secondary completed """,0
Tharaka-Nithi,Rural,"""Secondary completed """,0
Laikipia,Rural,"""None """,0
Narok,Urban,"""None """,1
Kwale,Rural,"""None """,0
Marsabit,Urban,"""Secondary completed """,1
Baringo,Urban,"""Primary completed""",1
Migori,Urban,"""Primary completed""",1
Meru,Urban,"""Primary completed""",1
Wajir,Urban,"""None """,1
Tharaka-Nithi,Rural,"""Primary completed""",0
Turkana,Rural,"""None """,0
West Pokot,Rural,"""Primary completed""",0
Uasin Gishu,Urban,"""Secondary completed """,1
Narok,Rural,"""Primary completed""",0
Makueni,Rural,"""Primary completed""",0
Homabay,Rural,"""Secondary completed """,0
Nyamira,Urban,Completed technical training after secondary school,1
Kajiado,Urban,Completed technical training after secondary school,1
Tharaka-Nithi,Rural,"""None """,0
Kwale,Rural,"""None """,0
Makueni,Rural,"""Primary completed""",0
Bomet,Rural,"""University completed """,0
Makueni,Rural,"""None """,0
Siaya,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Primary completed""",1
Machakos,Urban,Some university,1
Wajir,Rural,"""None """,0
Tana River,Urban,"""Secondary completed """,1
Lamu,Urban,"""None """,1
Makueni,Rural,"""Primary completed""",0
Meru,Rural,"""Primary completed""",0
Nairobi City,Urban,Some university,1
Murang'a,Urban,"""Secondary completed """,1
Nyeri,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
Tana River,Rural,"""None """,0
Embu,Urban,"""Secondary completed """,1
Nakuru,Urban,"""Primary completed""",1
Trans Nzoia,Rural,"""Secondary completed """,0
Kisii,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Tana River,Rural,"""Secondary completed """,0
Kisumu,Urban,Completed technical training after secondary school,1
Samburu,Rural,"""None """,0
Bungoma,Rural,Completed technical training after secondary school,0
Kakamega,Rural,"""Secondary completed """,0
Nyandarua,Urban,Completed technical training after secondary school,1
Machakos,Rural,"""Primary completed""",0
Vihiga,Urban,"""Primary completed""",1
Kitui,Rural,"""Primary completed""",0
Bungoma,Rural,"""Primary completed""",0
Kilifi,Rural,"""Primary completed""",0
Embu,Urban,Some technical training after secondary school,1
Nyeri,Rural,"""Secondary completed """,0
Vihiga,Rural,Completed technical training after secondary school,0
Nyeri,Rural,"""None """,0
Lamu,Rural,"""None """,0
Kirinyaga,Rural,"""Secondary completed """,0
Homabay,Urban,"""Secondary completed """,1
Embu,Rural,Some university,0
Mombasa,Urban,"""Primary completed""",1
Uasin Gishu,Rural,"""Secondary completed """,0
Bungoma,Rural,"""Primary completed""",0
Trans Nzoia,Urban,Some university,1
West Pokot,Rural,"""None """,0
Makueni,Urban,"""Secondary completed """,1
Vihiga,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Garissa,Rural,"""None """,0
Vihiga,Rural,Completed technical training after secondary school,0
Kisii,Urban,"""University completed """,1
Kitui,Urban,"""Primary completed""",1
Turkana,Rural,"""None """,0
Garissa,Rural,"""None """,0
Busia,Urban,"""University completed """,1
Meru,Rural,"""None """,0
Murang'a,Rural,"""Primary completed""",0
